word_samples
["hemopoietic", "nondiscontinuance", "nonvitreous", "nondiscretionary", "nondiscountable", "nondiscordant", "hussite", "nondiscovery", "wranny", "viceroy"]
["caloric", "tranquilness", "pyrosmalite", "vinegary", "vinegarroon", "vinegarweed", "vorpal", "vinegerone", "vinegarist", "unhieratic"]
["camelopardid", "lightboat", "lighten", "nosewheel", "unproportioned", "lightable", "meningocephalitis", "hussitism", "lightener", "lightbrained"]
["draco", "overfull", "suberose", "overfruited", "copr", "overfrozen", "overfullness", "overfruitful", "adamhood", "distributival"]
["web", "anallagmatic", "tantrism", "velumen", "analgia", "analgic", "analgize", "analkalinity", "tetrachloromethane", "porphyrian"]
["unconcreted", "unconcrete", "azoparaffin", "uncondemnable", "unfollowable", "unconcurrent", "marcantant", "unconcurring", "grasshopper", "intercalate"]
["lucayan", "lucchese", "lucarne", "lucban", "lucanus", "resinifluous", "hydroquinine", "catalyte", "appellativeness", "palilogy"]
["undiocesed", "alvite", "alvine", "bluebelled", "lexia", "alvissmal", "costively", "triboelectric", "alvus", "alway"]
["erroneously", "stomapodous", "stomata", "pelmatic", "chemicobiology", "stomapodiform", "palikar", "retrieverish", "stomatal", "stomatalgia"]
["plastically", "supertragic", "biologically", "aerie", "eusol", "supertotal", "overexertion", "supertonic", "supertower", "supertoleration"]
["sorosporella", "mischarge", "superintense", "perthitically", "geonavigation", "sorosis", "sorosphere", "sorose", "endoplasm", "sorosporium"]
["thermae", "thermalgesia", "therm", "centauridium", "thermal", "dal", "pycnodontoid", "unappareled", "siphoneae", "thermacogenesis"]
["perforce", "mildly", "mileage", "checkless", "tonsbergite", "mildness", "mile", "mildred", "epigrammatist", "dulcigenic"]
["delineature", "outagami", "unsustaining", "delinquence", "delineatory", "delineator", "terrifyingly", "botryopteris", "delinquency", "neptune"]
["necessist", "shanachas", "pitahauerat", "setwall", "salpingostomatomy", "necessitatedly", "necessitarianism", "necessitate", "necessitarian", "bistriate"]
["snowslip", "interpetaloid", "interphalangeal", "interpetiolary", "archostegnosis", "monocystidea", "copremia", "interphase", "emptily", "interpetiolar"]
["syntactically", "cotemporane", "cotemporaneous", "cotemporaneously", "cotemporanean", "preobtrude", "zoomechanics", "engrailed", "sedate", "coteller"]
["glyptograph", "glyptodontoid", "rectostomy", "ragtag", "glyptodontidae", "tetterish", "glyptodont", "slubby", "bleacher", "glyptodon"]
["sark", "unrectifiably", "unrecumbent", "unrectifiable", "otocranial", "unrectified", "vivianite", "trothlike", "spitscocked", "unrectangular"]
["intercommunicability", "intercommunicate", "unoratorical", "intercommuner", "intercommune", "unequalness", "homoeoblastic", "intercommunicable", "hypobranchial", "overmellow"]
["speedway", "dentifrice", "dentiform", "dentilabial", "overexplanation", "dentil", "backslider", "rootstock", "dentigerous", "eutechnic"]
["gonal", "gonakie", "gonagra", "seromuscular", "excurrent", "unfletched", "gonalgia", "gonangial", "psychogalvanometer", "retrospectivity"]
["uranism", "chapournet", "pinkly", "bittium", "overcrop", "pinkroot", "pinkness", "pinkishness", "pinkish", "egalitarian"]
["aleberry", "cubitocarpal", "loop", "familistic", "cubitometacarpal", "cubitocutaneous", "transpirability", "tripudiation", "cubitodigital", "cubitopalmar"]
["infralapsarianism", "vaticinatory", "lithodesma", "confervales", "vaticinator", "batrachiate", "vaticinatress", "vaticination", "undeparted", "vaticinatrix"]
["houri", "phyle", "isobarbaloin", "devastating", "hourful", "ivywort", "hour", "houppelande", "handworkman", "hourglass"]
["decisiveness", "matt", "mattapony", "matta", "cosmopolitanization", "collective", "guano", "mattamore", "storiette", "mattaro"]
["clymenia", "clyer", "clype", "greengrocer", "impardonable", "precisely", "clyfaker", "hymeniophore", "clyfaking", "floatation"]
["glutin", "blastophore", "glutinate", "extropical", "teethbrush", "gonagra", "glutination", "precorruption", "glutinize", "glutinative"]
["pogonotomy", "pogonotrophy", "waywiser", "tracheolaryngeal", "mirabiliary", "twae", "pogrom", "laniidae", "pogromist", "pogromize"]
["unmodified", "mastadenitis", "mastalgia", "mastage", "onychophora", "mastadenoma", "unelated", "acetosoluble", "mastaba", "laterigrade"]
["nonthoroughfare", "cytosporina", "nonthinking", "nonthinker", "leucochalcite", "pseudopoetical", "intrencher", "lucinoid", "nontherapeutic", "nonthoracic"]
["gewgaw", "geum", "getup", "variableness", "geullah", "filibeg", "exorbitate", "booty", "gewgawed", "anoesis"]
["uncourted", "unlasher", "unmaternal", "saltmouth", "salinella", "unlash", "guativere", "unlashed", "unlassoed", "unlarge"]
["shaded", "broodless", "epiphyllous", "complaintive", "cicely", "shaddock", "shadbush", "untunefulness", "shadchan", "shade"]
["pythios", "hypercomposite", "pythiambic", "pythian", "hylozoistic", "pythic", "marooner", "anthozoic", "unpeccable", "pythiad"]
["mentor", "striffen", "mentorial", "iodoxybenzene", "unbilleted", "shippage", "mentonniere", "mentomeckelian", "mentoposterior", "fustianist"]
["tirrwirr", "banian", "outcompliment", "overbearing", "outcomer", "outcompass", "suz", "outcoming", "outcomplete", "asthenia"]
["misshapenness", "lightheartedness", "lighthouse", "exophoric", "lighting", "nonabsolution", "unsurfaced", "lightish", "lighthouseman", "counteractor"]
["willed", "phyllodium", "willedness", "willable", "willawa", "dryth", "overforged", "excruciating", "will", "unstation"]
["oesophagus", "goldenseal", "waldflute", "ironness", "ironshod", "ironmongery", "ironmongering", "ironmonger", "dorsomedian", "electrotyper"]
["unspeared", "hearted", "furanoid", "squamozygomatic", "nonmobile", "nonmiscible", "nonmissionary", "nonmodal", "nonmischievous", "dumbledore"]
["motoric", "carpetbaggery", "electrophysiology", "crasher", "electrophysiological", "headstrongness", "electrophysics", "electropism", "inwall", "electrophysiologist"]
["trigonotype", "trigonum", "lycium", "ovalization", "probridge", "trigonon", "trigonous", "misbecomingly", "trigram", "arbute"]
["polyodont", "polynucleosis", "stereopticon", "aiguilletted", "polyodontal", "amoebicide", "polyodon", "cocksureness", "polyodontia", "paligorskite"]
["dolent", "extracutaneous", "thermoelement", "extracurriculum", "extracurricular", "omnispective", "pithoigia", "extradecretal", "revelment", "extracystic"]
["tralatitiously", "hyracotherium", "tralatitious", "tralatition", "tralira", "fluorine", "akiskemikinik", "biarcuate", "tralaticiary", "smectic"]
["philanthropinist", "beshade", "intrusionism", "intrusiveness", "intrusionist", "intrusively", "chirality", "noncostraight", "intrusive", "agag"]
["finalism", "eccentrometer", "ecchondrosis", "alkamin", "eccentring", "eccentricity", "electrokinematics", "ecchondroma", "rotulet", "ropeable"]
["preantiquity", "preanticipate", "preanterior", "dolphinlike", "underbeat", "preantepenultimate", "conveyancer", "preantiseptic", "uninhabitability", "prefashion"]
["trimestral", "undivorceable", "trimesyl", "cypris", "trimestrial", "vivisepulture", "trimester", "trimetalism", "schoolbookish", "awning"]
["physopodan", "tawn", "olease", "physopoda", "physopod", "physostigma", "octoad", "rhabdomantist", "susotoxin", "physostegia"]
["stubbornhearted", "stubboy", "stubbornness", "rhizoctonia", "aplanat", "stubby", "beclout", "michigander", "stubbornly", "bichy"]
["allicampane", "almeriite", "almida", "almightiness", "malbehavior", "almightily", "coglorify", "lophocomi", "updraft", "almighty"]
["abecedarian", "abe", "khandait", "mystagogical", "abearance", "hagioscopic", "abear", "woolshearing", "pseudoadiabatic", "abeam"]
["origenist", "agnate", "suspensorial", "suspensory", "suspensorium", "seerfish", "suspercollate", "unlighted", "suspicion", "trachle"]
["straddleback", "vamoose", "fifteener", "fifie", "fifish", "fifteen", "camphorize", "fifo", "protylopus", "tripinnately"]
["fibroblastic", "fibrobronchitis", "chaeta", "redispatch", "fibrocarcinoma", "overboast", "richdom", "circassian", "fibrocartilage", "fibrocalcareous"]
["faba", "heterological", "heterologic", "adenectomy", "millioctave", "paunchful", "argyranthous", "heterolith", "heterolobous", "heterolecithal"]
["disbudder", "quinin", "quinicine", "quinidine", "overmellow", "unborrowing", "scout", "quinidia", "quinina", "scoreless"]
["reauthentication", "reatus", "nannybush", "subversed", "pterocles", "retrocouple", "sublibrarian", "reattribution", "reauthenticate", "reaudit"]
["roxbury", "fallen", "roxane", "roxanne", "mopstick", "hypersphere", "roxburgh", "roxburghiaceae", "wipe", "hepar"]
["cloudology", "creativeness", "creatorhood", "bushing", "creatophagous", "creator", "parametritic", "creativity", "cynarctomachy", "leucotomy"]
["cack", "gillstoup", "ratiocinative", "anticovenanter", "asystolism", "ratiocinant", "ratiocination", "ratio", "ichthyopaleontology", "ratiocinate"]
["circlet", "circled", "awing", "circler", "habilitator", "circling", "circlewise", "lemmitis", "weeness", "miliola"]
["unstoried", "viscidly", "unstored", "unstormed", "unstormy", "misact", "opponent", "paludose", "pseudoglanders", "unstore"]
["xylophilous", "intraoral", "groundsel", "cypseliformes", "cloudlessly", "immutation", "intraorbital", "intraoctave", "intraocular", "intraorganization"]
["lymphocythemia", "polyploidy", "antitropy", "polypod", "polyophthalmic", "polypnoea", "underchurched", "polypnoeic", "prunello", "polyploidic"]
["sowdones", "sowbacked", "sowbread", "haustellum", "choachyte", "overempired", "saeter", "sowbelly", "slour", "sowbane"]
["moralist", "felucca", "enneasemic", "sis", "sisal", "sturine", "sirupy", "arminianizer", "siryan", "siscowet"]
["macrocyte", "semierect", "semieremitical", "semiequitant", "prosopically", "emperorship", "triplexity", "semiessay", "semiengaged", "intercommunicable"]
["khalkha", "shrewdish", "ajivika", "khaldian", "khakied", "khalifat", "gallop", "khalifa", "renomination", "ontogenesis"]
["ovatocordate", "pelargomorph", "ovatoglobose", "justification", "ovatodeltoid", "ushak", "ovatocylindraceous", "ovatoellipsoidal", "tercentenary", "crummie"]
["hydriodide", "pseudospermium", "pubiotomy", "nemorensian", "patentably", "hydriotaphia", "hydriodate", "rosmarinus", "hydrindene", "hydriodic"]
["infidel", "unamicably", "infidelism", "infidelical", "blown", "ursal", "infidelistic", "mesdames", "infidelic", "edging"]
